Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19980130,FCE,32,657.265,3.12745,2.10165
19980203,SP,4,77.264,1.10349,0.77244
19980204,SI2,28,2.636,0.01127,0.03550
19980312,PA2,40,2.066,0.05040,0.08064
19980325,PA2,37,-13.608,-0.34146,-0.50536
19980326,ND,8,-7.394,-0.07444,-0.05955
19980403,LLG,32,-1.373,-0.45943,-0.44106
19980406,GC2,54,-10.304,-0.16178,-0.55912
19980414,PA2,34,12.000,0.29875,0.40630
19980417,BP,24,-0.040,-2.08385,-0.60015
19980505,FCE,33,77.290,0.36567,0.25341
19980513,PA2,26,31.468,0.78544,0.81686
19980601,LLG,38,-0.944,-0.31637,-0.36066
19980624,ND,7,76.313,0.76263,0.53384
19980626,FCE,30,14.000,0.06429,0.04050
19980630,SP,5,-2.637,-0.03796,-0.03321
19980630,CT2,38,-2.494,-0.78263,-0.47584
19980810,TU2,89,0.326,2.87786,0.57629
